"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2003 - 01","12168529","12.7","129","n/a","7.9","80","n/a","2.7","27","n/a"
"2003 - 02","12181067","9.8","99","-23.3","7.5","76","-5.0","2.3","23","-14.8"
"2003 - 03","12193605","15.7","160","61.6","9.9","101","32.9","3","30","30.4"
"2003 - 04","12206143","14.9","152","-5.0","7.9","80","-20.8","2.7","27","-10.0"
"2003 - 05","12218682","15.7","160","5.3","10.1","103","28.7","2.7","27","0.0"
"2003 - 06","12231220","16.4","167","4.4","9.6","98","-4.9","2.8","29","7.4"
"2003 - 07","12243758","16.1","164","-1.8","10.2","104","6.1","4.2","43","48.3"
"2003 - 08","12255951","17.1","175","6.7","11.7","120","15.4","4","41","-4.7"
"2003 - 09","12268143","14.9","152","-13.1","10.2","104","-13.3","2.9","30","-26.8"
"2003 - 10","12280336","16.4","168","10.5","9.7","99","-4.8","3.5","36","20.0"
"2003 - 11","12292528","16.8","172","2.4","10.4","107","8.1","2.8","29","-19.4"
"2003 - 12","12304721","15.6","160","-7.0","11","113","5.6","2.3","24","-17.2"
"2004 - 01","12316913","15.8","162","1.3","9.5","97","-14.2","2.5","26","8.3"
"2004 - 02","12329106","16.5","170","4.9","10.6","109","12.4","2.9","30","15.4"
"2004 - 03","12341298","16.5","170","0.0","11.7","120","10.1","3.4","35","16.7"
"2004 - 04","12353491","14.4","148","-12.9","10.4","107","-10.8","2.7","28","-20.0"
"2004 - 05","12365683","14.8","153","3.4","10.1","104","-2.8","3","31","10.7"
"2004 - 06","12377876","17.9","185","20.9","9.8","101","-2.9","3.4","35","12.9"
"2004 - 07","12390068","16.6","171","-7.6","12.2","126","24.8","3","31","-11.4"
"2004 - 08","12401562","17","176","2.9","10.5","108","-14.3","2.7","28","-9.7"
"2004 - 09","12413055","17.1","177","0.6","10.1","104","-3.7","2.4","25","-10.7"
"2004 - 10","12424549","18.6","193","9.0","9.3","96","-7.7","2.2","23","-8.0"
"2004 - 11","12436042","17.8","184","-4.7","11","114","18.8","2.1","22","-4.3"
"2004 - 12","12447536","14.8","154","-16.3","8.4","87","-23.7","2.5","26","18.2"
"2005 - 01","12459029","16.4","170","10.4","9.8","102","17.2","3.6","37","42.3"
"2005 - 02","12470523","15.5","161","-5.3","10.5","109","6.9","3.2","33","-10.8"
"2005 - 03","12482016","16.1","167","3.7","9.9","103","-5.5","3.2","33","0.0"
"2005 - 04","12493510","16.8","175","4.8","10.3","107","3.9","3.3","34","3.0"
"2005 - 05","12505003","15.9","166","-5.1","10.2","106","-0.9","3.6","37","8.8"
"2005 - 06","12516497","18.6","194","16.9","10.5","110","3.8","3.5","36","-2.7"
"2005 - 07","12527990","20.3","212","9.3","11.2","117","6.4","3.6","38","5.6"
"2005 - 08","12539121","16.9","177","-16.5","10.9","114","-2.6","4.3","45","18.4"
"2005 - 09","12550253","15.4","161","-9.0","10.2","107","-6.1","2.9","30","-33.3"
"2005 - 10","12561384","15.6","163","1.2","10.4","109","1.9","3.9","41","36.7"
"2005 - 11","12572515","16.9","177","8.6","12.4","130","19.3","3.5","37","-9.8"
"2005 - 12","12583647","15.5","163","-7.9","10.3","108","-16.9","4.1","43","16.2"
"2006 - 01","12594778","17.4","183","12.3","10.9","114","5.6","2.4","25","-41.9"
"2006 - 02","12605909","16.5","173","-5.5","10.2","107","-6.1","2.9","30","20.0"
"2006 - 03","12617041","18.8","198","14.5","9.3","98","-8.4","4.7","49","63.3"
"2006 - 04","12628172","17.4","183","-7.6","9.6","101","3.1","2.2","23","-53.1"
"2006 - 05","12639303","16.2","171","-6.6","10.9","115","13.9","4.1","43","87.0"
"2006 - 06","12650435","16.8","177","3.5","8.4","89","-22.6","4.4","46","7.0"
"2006 - 07","12661566","18.6","196","10.7","10.9","115","29.2","3.1","33","-28.3"
"2006 - 08","12670118","16.8","177","-9.7","10.2","108","-6.1","4.2","44","33.3"
"2006 - 09","12678671","14.7","155","-12.4","9.3","98","-9.3","2.9","31","-29.5"
"2006 - 10","12687223","18.4","195","25.8","11.4","120","22.4","3.1","33","6.5"
"2006 - 11","12695776","16.1","170","-12.8","7","74","-38.3","3.3","35","6.1"
"2006 - 12","12704328","16.2","172","1.2","8.8","93","25.7","4.2","44","25.7"
"2007 - 01","12712881","16","169","-1.7","7.8","83","-10.8","3.2","34","-22.7"
"2007 - 02","12721433","14.4","153","-9.5","8.2","87","4.8","2.9","31","-8.8"
"2007 - 03","12729985","16.7","177","15.7","8.6","91","4.6","3.5","37","19.4"
"2007 - 04","12738538","17.5","186","5.1","9.8","104","14.3","4.3","46","24.3"
"2007 - 05","12747090","18.5","197","5.9","10.4","111","6.7","3.8","40","-13.0"
"2007 - 06","12755643","19.4","206","4.6","11.8","125","12.6","4.4","47","17.5"
"2007 - 07","12764195","18.4","196","-4.9","11.2","119","-4.8","4.4","47","0.0"
"2007 - 08","12774064","19.3","205","4.6","10.5","112","-5.9","4","43","-8.5"
"2007 - 09","12783933","18","192","-6.3","10.5","112","0.0","3.3","35","-18.6"
"2007 - 10","12793803","17","181","-5.7","9.9","106","-5.4","3.4","36","2.9"
"2007 - 11","12803672","18.2","194","7.2","8.2","87","-17.9","3.1","33","-8.3"
"2007 - 12","12813541","16.4","175","-9.8","9.6","102","17.2","3.7","39","18.2"
"2008 - 01","12823410","18.1","193","10.3","10.9","117","14.7","5.1","54","38.5"
"2008 - 02","12833279","17.9","191","-1.0","11.2","120","2.6","3.5","37","-31.5"
"2008 - 03","12843148","15.7","168","-12.0","9.9","106","-11.7","3.6","38","2.7"
"2008 - 04","12853018","19.2","206","22.6","9.8","105","-0.9","4.4","47","23.7"
"2008 - 05","12862887","18.2","195","-5.3","9","97","-7.6","3.7","40","-14.9"
"2008 - 06","12872756","17.2","184","-5.6","8.1","87","-10.3","3.8","41","2.5"
"2008 - 07","12882625","23.2","249","35.3","12.8","137","57.5","2.7","29","-29.3"
"2008 - 08","12892214","20.3","218","-12.4","9.7","104","-24.1","4","43","48.3"
"2008 - 09","12901802","16.9","182","-16.5","9.4","101","-2.9","3.3","36","-16.3"
"2008 - 10","12911391","18.5","199","9.3","10.2","110","8.9","3","32","-11.1"
"2008 - 11","12920979","21.7","234","17.6","11","118","7.3","3.4","37","15.6"
"2008 - 12","12930568","17.8","192","-17.9","10.6","114","-3.4","5.3","57","54.1"
"2009 - 01","12940156","18.1","195","1.6","10.8","117","2.6","4.4","47","-17.5"
"2009 - 02","12949745","20.6","222","13.8","9.5","102","-12.8","3.2","34","-27.7"
"2009 - 03","12959333","19","205","-7.7","10.1","109","6.9","4.2","45","32.4"
"2009 - 04","12968922","23","249","21.5","10.7","116","6.4","3.9","42","-6.7"
"2009 - 05","12978510","26.3","284","14.1","10.9","118","1.7","4.2","45","7.1"
"2009 - 06","12988099","23.3","252","-11.3","11.5","125","5.9","4.3","46","2.2"
"2009 - 07","12997687","25","271","7.5","12.6","137","9.6","3.7","40","-13.0"
"2009 - 08","13009135","22.9","248","-8.5","10.9","118","-13.9","4","43","7.5"
"2009 - 09","13020583","21","228","-8.1","11","119","0.8","4.1","44","2.3"
"2009 - 10","13032031","21.8","237","3.9","11.1","121","1.7","4.1","44","0.0"
"2009 - 11","13043479","22.9","249","5.1","12.2","133","9.9","4","44","0.0"
"2009 - 12","13054927","22.6","246","-1.2","12.4","135","1.5","5.1","55","25.0"
"2010 - 01","13066375","20.6","224","-8.9","9.4","102","-24.4","3.7","40","-27.3"
"2010 - 02","13077823","20.6","225","0.4","9.7","106","3.9","5","55","37.5"
"2010 - 03","13089271","20.3","221","-1.8","10.6","116","9.4","4.9","53","-3.6"
"2010 - 04","13100719","20.7","226","2.3","10.4","114","-1.7","4.1","45","-15.1"
"2010 - 05","13112167","21.1","231","2.2","11.3","124","8.8","5.5","60","33.3"
"2010 - 06","13123615","21.9","240","3.9","11.6","127","2.4","4.8","52","-13.3"
"2010 - 07","13135063","23.9","262","9.2","12.5","137","7.9","4","44","-15.4"
"2010 - 08","13145770","23","252","-3.8","12","132","-3.6","3.4","37","-15.9"
"2010 - 09","13156477","23.8","261","3.6","10.8","118","-10.6","4.2","46","24.3"
"2010 - 10","13167183","21.3","234","-10.3","10.8","119","0.8","3.8","42","-8.7"
"2010 - 11","13177890","20.5","225","-3.8","10.8","119","0.0","3.8","42","0.0"
"2010 - 12","13188597","21.8","240","6.7","11","121","1.7","5","55","31.0"
"2011 - 01","13199304","19.9","219","-8.7","11.5","127","5.0","4.7","52","-5.5"
"2011 - 02","13210010","19.3","212","-3.2","10.1","111","-12.6","4.1","45","-13.5"
"2011 - 03","13220717","21.3","235","10.8","10.9","120","8.1","4.3","47","4.4"
"2011 - 04","13231424","22","243","3.4","13.7","151","25.8","4.2","46","-2.1"
"2011 - 05","13242131","21","232","-4.5","11.3","125","-17.2","3.7","41","-10.9"
"2011 - 06","13252837","20.7","229","-1.3","12.1","134","7.2","3.8","42","2.4"
"2011 - 07","13263544","25.3","280","22.3","15.1","167","24.6","4.9","54","28.6"
"2011 - 08","13276057","27.5","304","8.6","13.7","152","-9.0","3.3","36","-33.3"
"2011 - 09","13288570","26.9","298","-2.0","10.9","121","-20.4","4.4","49","36.1"
"2011 - 10","13301084","21.5","238","-20.1","12.6","140","15.7","3.8","42","-14.3"
"2011 - 11","13313597","19","211","-11.3","10.5","117","-16.4","4.9","54","28.6"
"2011 - 12","13326110","21","233","10.4","12.6","140","19.7","4.3","48","-11.1"
"2012 - 01","13338623","21.4","238","2.1","12.2","136","-2.9","3.7","41","-14.6"
"2012 - 02","13351136","19.7","219","-8.0","12.2","136","0.0","3.3","37","-9.8"
"2012 - 03","13363649","23.6","263","20.1","12.2","136","0.0","4.3","48","29.7"
"2012 - 04","13376163","23.5","262","-0.4","11.6","129","-5.1","4.8","53","10.4"
"2012 - 05","13388676","24.2","270","3.1","14.7","164","27.1","4","45","-15.1"
"2012 - 06","13401189","25.6","286","5.9","14.3","160","-2.4","4.1","46","2.2"
"2012 - 07","13413702","26.4","295","3.1","14.4","161","0.6","5.5","62","34.8"
"2012 - 08","13425579","24.4","273","-7.5","14.3","160","-0.6","4.4","49","-21.0"
"2012 - 09","13437457","24.4","273","0.0","14","157","-1.9","3.6","40","-18.4"
"2012 - 10","13449334","23","258","-5.5","14.5","162","3.2","4.6","51","27.5"
"2012 - 11","13461211","25.4","285","10.5","14.4","162","0.0","5.2","58","13.7"
"2012 - 12","13473088","20.7","232","-18.6","10","112","-30.9","4.9","55","-5.2"
"2013 - 01","13484966","19","213","-8.2","11.5","129","15.2","4.1","46","-16.4"
"2013 - 02","13496843","21.3","240","12.7","11.1","125","-3.1","5.2","59","28.3"
"2013 - 03","13508720","21.2","239","-0.4","12.4","140","12.0","5.2","58","-1.7"
"2013 - 04","13520597","19.1","215","-10.0","13.3","150","7.1","4.7","53","-8.6"
"2013 - 05","13532475","25.9","292","35.8","13.9","157","4.7","5","56","5.7"
"2013 - 06","13544352","19.6","221","-24.3","9.5","107","-31.8","5.1","57","1.8"
"2013 - 07","13556229","25.8","292","32.1","13","147","37.4","5.7","64","12.3"
"2013 - 08","13566974","24.9","282","-3.4","13.1","148","0.7","5","56","-12.5"
"2013 - 09","13577719","23.9","270","-4.3","13.6","154","4.1","4.3","49","-12.5"
"2013 - 10","13588465","24.3","275","1.9","12.3","139","-9.7","3.8","43","-12.2"
"2013 - 11","13599210","22.6","256","-6.9","12.4","141","1.4","4.6","52","20.9"
"2013 - 12","13609955","22.6","256","0.0","11.8","134","-5.0","4.1","46","-11.5"
"2014 - 01","13620700","21.8","247","-3.5","11.2","127","-5.2","5.7","65","41.3"
"2014 - 02","13631445","21.9","249","0.8","11.8","134","5.5","4.1","47","-27.7"
"2014 - 03","13642190","23.7","270","8.4","12.5","142","6.0","5.1","58","23.4"
"2014 - 04","13652936","20.6","234","-13.3","11.5","131","-7.7","4","45","-22.4"
"2014 - 05","13663681","23.9","272","16.2","13.5","154","17.6","4.7","53","17.8"
"2014 - 06","13674426","28","319","17.3","14.2","162","5.2","5.2","59","11.3"
"2014 - 07","13685171","26.1","298","-6.6","11.7","133","-17.9","4.9","56","-5.1"
"2014 - 08","13694493","29.1","332","11.4","15.2","173","30.1","6.4","73","30.4"
"2014 - 09","13703816","23.2","265","-20.2","11.9","136","-21.4","5.3","61","-16.4"
"2014 - 10","13713138","26.3","300","13.2","12.7","145","6.6","4.4","50","-18.0"
"2014 - 11","13722460","26.5","303","1.0","12.9","147","1.4","4.8","55","10.0"
"2014 - 12","13731782","22.5","258","-14.9","10.7","122","-17.0","4.7","54","-1.8"
"2015 - 01","13741105","22.2","254","-1.6","12","137","12.3","5.1","58","7.4"
"2015 - 02","13750427","24","275","8.3","9.7","111","-19.0","4.4","50","-13.8"
"2015 - 03","13759749","23.6","271","-1.5","11","126","13.5","6","69","38.0"
"2015 - 04","13769071","27.7","318","17.3","11.4","131","4.0","6.2","71","2.9"
"2015 - 05","13778394","27","310","-2.5","12.7","146","11.5","4.8","55","-22.5"
"2015 - 06","13787716","25","287","-7.4","14.2","163","11.6","6.4","73","32.7"
"2015 - 07","13797038","26.9","309","7.7","14.5","167","2.5","5.3","61","-16.4"
"2015 - 08","13812534","31.5","363","17.5","13.6","157","-6.0","5.3","61","0.0"
"2015 - 09","13828029","29.1","335","-7.7","14.5","167","6.4","4.3","50","-18.0"
"2015 - 10","13843525","25.5","294","-12.2","14.2","164","-1.8","5.7","66","32.0"
"2015 - 11","13859020","22.2","256","-12.9","12.1","140","-14.6","4.7","54","-18.2"
"2015 - 12","13874516","30.8","356","39.1","11.8","137","-2.1","5.2","60","11.1"
"2016 - 01","13890011","26.8","310","-12.9","11.5","133","-2.9","6.2","72","20.0"
"2016 - 02","13905507","27.5","319","2.9","11.7","136","2.3","5.6","65","-9.7"
"2016 - 03","13921002","30.8","357","11.9","12.7","147","8.1","6.6","77","18.5"
"2016 - 04","13936498","29.4","341","-4.5","13.5","157","6.8","6.9","80","3.9"
"2016 - 05","13951993","30.9","359","5.3","12.4","144","-8.3","5.2","61","-23.7"
"2016 - 06","13967489","31.7","369","2.8","17.3","201","39.6","6.6","77","26.2"
"2016 - 07","13982984","32.4","377","2.2","13.2","154","-23.4","5.4","63","-18.2"
"2016 - 08","14003533","32","373","-1.1","13.3","155","0.6","5.9","69","9.5"
"2016 - 09","14024082","32.6","381","2.1","13.3","156","0.6","5.4","63","-8.7"
"2016 - 10","14044631","34.3","402","5.5","13.8","162","3.8","5.8","68","7.9"
"2016 - 11","14065180","36","422","5.0","15.9","186","14.8","8.6","101","48.5"
"2016 - 12","14085729","35.5","417","-1.2","15.1","177","-4.8","6.1","72","-28.7"
"2017 - 01","14106278","34.4","404","-3.1","13.8","162","-8.5","6.3","74","2.8"
"2017 - 02","14126826","36.2","426","5.4","12.7","150","-7.4","7.1","84","13.5"
"2017 - 03","14147375","44.3","522","22.5","14.7","173","15.3","7.1","84","0.0"
"2017 - 04","14167924","52","614","17.6","16.2","191","10.4","8.3","98","16.7"
"2017 - 05","14188473","50.7","600","-2.3","15.6","185","-3.1","8.3","98","0.0"
"2017 - 06","14209022","57.3","679","13.2","14.4","170","-8.1","10.6","125","27.6"
"2017 - 07","14229571","67.7","803","18.3","15.4","183","7.6","11.4","135","8.0"
"2017 - 08","14247020","81.4","967","20.4","18.5","220","20.2","12.1","144","6.7"
"2017 - 09","14264469","75.2","894","-7.5","16","190","-13.6","11.9","142","-1.4"
"2017 - 10","14281918","58.1","691","-22.7","16.3","194","2.1","8","95","-33.1"
"2017 - 11","14299367","48.9","583","-15.6","14","167","-13.9","9.4","112","17.9"
"2017 - 12","14316816","48.7","581","-0.3","13.4","160","-4.2","8.5","101","-9.8"
"2018 - 01","14334265","44.9","536","-7.7","12.2","146","-8.7","8.1","97","-4.0"
"2018 - 02","14351713","48.1","575","7.3","13.1","157","7.5","7.1","85","-12.4"
"2018 - 03","14369162","61.1","732","27.3","16.3","195","24.2","10.6","127","49.4"
"2018 - 04","14386611","58.6","703","-4.0","14.3","172","-11.8","8","96","-24.4"
"2018 - 05","14404060","64.4","773","10.0","17.6","211","22.7","9.8","118","22.9"
"2018 - 06","14421509","69.2","832","7.6","14.6","176","-16.6","9.2","111","-5.9"
"2018 - 07","14438958","69.9","841","1.1","15.7","189","7.4","9.7","117","5.4"
"2018 - 08","14455233","73.9","890","5.8","15.1","182","-3.7","11.5","139","18.8"
"2018 - 09","14471508","67.7","817","-8.2","12.2","147","-19.2","11.7","141","1.4"
"2018 - 10","14487784","64.2","775","-5.1","13.3","160","8.8","11.3","137","-2.8"
"2018 - 11","14504059","68.5","828","6.8","14.7","178","11.3","13.5","163","19.0"
"2018 - 12","14520334","70.4","852","2.9","16.3","197","10.7","12.2","148","-9.2"
"2019 - 01","14536609","66.9","811","-4.8","13","157","-20.3","11.2","136","-8.1"
"2019 - 02","14552884","80.1","971","19.7","15.7","190","21.0","11.3","137","0.7"
"2019 - 03","14569159","98.1","1191","22.7","14.7","178","-6.3","14.7","178","29.9"
"2019 - 04","14585435","100.6","1223","2.7","17.7","215","20.8","14.5","176","-1.1"
"2019 - 05","14601710","103.6","1261","3.1","15.5","188","-12.6","13.4","163","-7.4"
"2019 - 06","14617985","77.9","949","-24.7","15","183","-2.7","10.6","129","-20.9"
"2019 - 07","14634260","54.9","669","-29.5","12.3","150","-18.0","7.6","93","-27.9"
"2019 - 08","14649317","62.2","759","13.5","12.9","158","5.3","6.8","83","-10.8"
"2019 - 09","14664375","45.5","556","-26.7","10.8","132","-16.5","5.3","65","-21.7"
"2019 - 10","14679432","54.5","667","20.0","10.8","132","0.0","7.7","94","44.6"
"2019 - 11","14694490","58.3","714","7.0","13.5","165","25.0","10.2","125","33.0"
"2019 - 12","14709547","57.7","707","-1.0","12","147","-10.9","12.2","150","20.0"
"2020 - 01","14724605","61.7","757","7.1","10.6","130","-11.6","12.4","152","1.3"
"2020 - 02","14739662","86.4","1061","40.2","13","160","23.1","11.2","138","-9.2"
"2020 - 03","14754719","88.1","1083","2.1","13","160","0.0","13.8","170","23.2"
"2020 - 04","14769777","80.7","993","-8.3","12.3","151","-5.6","17.1","210","23.5"
"2020 - 05","14784834","82.9","1021","2.8","16.7","206","36.4","18.9","233","11.0"
"2020 - 06","14799892","71.8","886","-13.2","13.5","167","-18.9","14.4","178","-23.6"
"2020 - 07","14814949","86.1","1063","20.0","15.6","192","15.0","17.4","215","20.8"
"2020 - 08","14828736","84.6","1045","-1.7","14.5","179","-6.8","17.4","215","0.0"
"2020 - 09","14842524","91.5","1132","8.3","15.8","195","8.9","15.8","196","-8.8"
"2020 - 10","14856311","90.6","1122","-0.9","11.8","146","-25.1","18.5","229","16.8"
"2020 - 11","14870098","89.6","1110","-1.1","14","173","18.5","19.7","244","6.6"
"2020 - 12","14883886","101.1","1254","13.0","16.4","204","17.9","19.6","243","-0.4"
"2021 - 01","14897673","98.6","1224","-2.4","15.1","188","-7.8","19","236","-2.9"
"2021 - 02","14911460","94.6","1176","-3.9","16.3","203","8.0","18.9","235","-0.4"
"2021 - 03","14925248","102.4","1273","8.2","15.6","194","-4.4","21.4","266","13.2"
"2021 - 04","14939035","101.7","1266","-0.5","14.4","179","-7.7","20.1","250","-6.0"
"2021 - 05","14952822","124.6","1552","22.6","18.1","225","25.7","18.9","236","-5.6"
"2021 - 06","14966610","120.3","1500","-3.4","15.1","188","-16.4","17.6","220","-6.8"
